method_key,method,steps,episode_reward,episode_length,wall_time,run_name,training_seed
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,17424,9.684429,229,2026-05-16 11:44:45,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,17792,5.986743,279,2026-05-16 11:44:46,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,17916,5.697971,270,2026-05-16 11:44:46,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,18464,6.254499,260,2026-05-16 11:44:48,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,18824,-1.202787,375,2026-05-16 11:44:50,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,18868,4.574653,269,2026-05-16 11:44:50,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,18912,5.161753,249,2026-05-16 11:44:50,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,19400,8.531733,234,2026-05-16 11:44:52,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,19784,28.681785,240,2026-05-16 11:44:53,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,19836,8.720573,242,2026-05-16 11:44:53,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,20124,4.529102,303,2026-05-16 11:44:54,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,20284,8.662549,221,2026-05-16 11:44:55,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,20752,7.902204,242,2026-05-16 11:44:58,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,20952,7.643742,207,2026-05-16 11:44:59,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,21008,5.776274,293,2026-05-16 11:44:59,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,21108,10.297989,206,2026-05-16 11:44:59,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,21716,8.651478,241,2026-05-16 11:45:01,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,21932,10.805595,206,2026-05-16 11:45:02,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,21952,29.267736,236,2026-05-16 11:45:02,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,22012,8.531579,265,2026-05-16 11:45:03,seed2_rerunA,2
