method_key,method,wall_time,steps,target_steps,percent,steps_per_second,eta_minutes,recent_episode_reward_mean,run_name,training_seed
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,2026-05-16 11:48:35,75528,1500000,5.0352,251.75134399879235,94.3041638741515,15.973756459999999,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,2026-05-16 11:53:35,151200,1500000,10.08,251.9937228431314,89.20857133411226,23.8273828,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,2026-05-16 11:58:35,225724,1500000,15.048266666666667,250.79894369132148,84.6811115738692,24.697348119999997,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,2026-05-16 12:03:35,300860,1500000,20.057333333333332,250.71227090244088,79.71555039858279,24.828812900000003,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,2026-05-16 12:08:35,376252,1500000,25.083466666666666,250.83087776430952,74.6683721727911,25.984347780000004,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,2026-05-16 12:13:35,450664,1500000,30.044266666666665,250.36404512751267,69.85401328064523,27.75231592,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,2026-05-16 12:18:35,526544,1500000,35.10293333333333,250.72997956353996,64.70812423352476,29.288468759999997,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,2026-05-16 12:23:35,601696,1500000,40.11306666666667,250.7014240005948,59.719378910659124,29.056178380000002,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,2026-05-16 12:28:35,676000,1500000,45.06666666666667,250.36521782536005,54.85319986785422,28.15806504,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,2026-05-16 12:33:35,750636,1500000,50.0424,250.20666411617103,49.91633633787295,29.669244740000003,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,2026-05-16 12:38:35,825644,1500000,55.04293333333333,250.18963751844024,44.92299032903902,29.725558179999997,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,2026-05-16 12:43:35,900552,1500000,60.0368,250.14797669062116,39.939559504638545,26.962541360000003,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,2026-05-16 12:48:36,974852,1500000,64.99013333333333,249.89814208812632,35.02413660834709,28.407892420000003,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,2026-05-16 12:53:36,1049480,1500000,69.96533333333333,249.81622901416134,30.056760909000122,29.14705642,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,2026-05-16 12:58:36,1124264,1500000,74.95093333333334,249.78047798068792,25.071081284226068,30.199972799999998,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,2026-05-16 13:03:36,1199200,1500000,79.94666666666667,249.78032097025783,20.07097001821167,27.61027282,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,2026-05-16 13:08:36,1273840,1500000,84.92266666666667,249.7220380177582,15.094115694607975,28.749483499999997,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,2026-05-16 13:13:36,1348092,1500000,89.8728,249.59853114078217,10.143489180118523,32.63855064,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,2026-05-16 13:18:36,1422956,1500000,94.86373333333333,249.59539739029591,5.144592729243132,25.79559952,seed2_rerunA,2
p3_s2_seed2_rerunA,n3pf_ms_ab_block_projected_seed2_rerunA,2026-05-16 13:23:36,1497088,1500000,99.80586666666666,249.4707415862375,0.1945451920523363,26.704923960000002,seed2_rerunA,2
