run_name,training_seed,method_key,method,checkpoint,checkpoint_path,checkpoint_step,checkpoint_label,eval_seed,source_phase,scenario,episodes,success_rate,collision_rate,near_miss_rate,progress,mean_min_distance,episode_min_distance,episode_length,episode_reward,raw_unsafe_action_rate,raw_safe_margin_unsafe_action_rate,action_norm,action_delta,no_response_rate,raw_min_predicted_cpa,nan_or_crash
seed2_rerunA,2,p3_s2_seed2_rerunA_1000k,P3_block_projected_seed2_rerunA_1000k,p3_s2_seed2_rerunA_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2_rerunA/checkpoint_1000k.zip,1000000,1000k,1001,N3PF-MS-AB-StepB,eval_flow_sudden_threat,50,0.5,0.5,0.5,0.9705164487062088,5.455097786116572,0.7291601714491844,111.8,31.24403041025506,0.20428553057896737,0.2373526016937798,1.5849616322716742,0.10490452574802708,0.0,3.447221098295156,0
seed2_rerunA,2,p3_s2_seed2_rerunA_1000k,P3_block_projected_seed2_rerunA_1000k,p3_s2_seed2_rerunA_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2_rerunA/checkpoint_1000k.zip,1000000,1000k,1002,N3PF-MS-AB-StepB,eval_flow_high_density,50,0.44,0.56,0.44,0.9506718915072058,4.978481697598763,0.6645431354641914,108.86,29.426968843604804,0.30095588723538763,0.33786692514679295,1.5804567187302931,0.1017402882116624,0.0,2.914171417565587,0
seed2_rerunA,2,p3_s2_seed2_rerunA_1000k,P3_block_projected_seed2_rerunA_1000k,p3_s2_seed2_rerunA_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2_rerunA/checkpoint_1000k.zip,1000000,1000k,1002,N3PF-MS-AB-StepB,eval_flow_high_speed,50,0.24,0.76,0.24,0.9648642882191648,5.037741936339348,0.5991661320626736,107.94,25.558092131330046,0.2192366606216202,0.26548784162301764,1.5797035349198882,0.1031526164862779,0.0,3.2095737476230486,0
seed2_rerunA,2,p3_s2_seed2_rerunA_1000k,P3_block_projected_seed2_rerunA_1000k,p3_s2_seed2_rerunA_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2_rerunA/checkpoint_1000k.zip,1000000,1000k,1002,N3PF-MS-AB-StepB,eval_flow_high_threat,50,0.42,0.58,0.36,0.9633145419222838,5.555256599040371,0.7335754302144051,112.04,29.512869602472033,0.23483440162312164,0.26628677223170066,1.5838411778603265,0.10454679802307697,0.0,3.6042791388050874,0
seed2_rerunA,2,p3_s2_seed2_rerunA_1000k,P3_block_projected_seed2_rerunA_1000k,p3_s2_seed2_rerunA_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2_rerunA/checkpoint_1000k.zip,1000000,1000k,1002,N3PF-MS-AB-StepB,eval_flow_id,50,0.48,0.52,0.48,0.9705515580690179,5.669720247684365,0.7190027761459351,108.14,30.77707430114523,0.2402499415554836,0.2784060430116074,1.5761620793316415,0.0927759085667457,0.0,3.5402528085929466,0
seed2_rerunA,2,p3_s2_seed2_rerunA_1000k,P3_block_projected_seed2_rerunA_1000k,p3_s2_seed2_rerunA_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2_rerunA/checkpoint_1000k.zip,1000000,1000k,1002,N3PF-MS-AB-StepB,eval_flow_mixed_ood,50,0.4,0.6,0.38,0.9527946497911925,5.133674665937219,0.6561909890174866,110.9,28.676819998499294,0.2598772039845398,0.3062735374521363,1.5820181354187721,0.11076958422712162,0.0,3.161866782933146,0
seed2_rerunA,2,p3_s2_seed2_rerunA_1000k,P3_block_projected_seed2_rerunA_1000k,p3_s2_seed2_rerunA_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2_rerunA/checkpoint_1000k.zip,1000000,1000k,1002,N3PF-MS-AB-StepB,eval_flow_sudden_threat,50,0.5,0.5,0.5,0.970304812989243,5.49316037206702,0.7299423107504844,111.02,31.233729230508324,0.2005420477843897,0.2343375562595477,1.584846228036453,0.10273394106943488,0.0,3.4740395117070073,0
seed2_rerunA,2,p3_s2_seed2_rerunA_1500k,P3_block_projected_seed2_rerunA_1500k,p3_s2_seed2_rerunA_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2_rerunA/checkpoint_1500k.zip,1500000,1500k,1000,N3PF-MS-AB-StepB,eval_flow_high_density,50,0.4,0.6,0.38,0.9207403401329413,4.493156179314493,0.699325333237648,102.2,27.597891743221243,0.3008937296339077,0.3418835988315703,1.5563581844797865,0.11576232395487934,0.0,2.5875689216482542,0
seed2_rerunA,2,p3_s2_seed2_rerunA_1500k,P3_block_projected_seed2_rerunA_1500k,p3_s2_seed2_rerunA_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2_rerunA/checkpoint_1500k.zip,1500000,1500k,1000,N3PF-MS-AB-StepB,eval_flow_high_speed,50,0.38,0.62,0.36,0.9544403546331646,4.393897721281166,0.6755133798718452,106.78,28.633244969600028,0.2718542581058415,0.31899951125376724,1.5505122293527032,0.11414053804277902,0.0,2.6535320880527165,0
seed2_rerunA,2,p3_s2_seed2_rerunA_1500k,P3_block_projected_seed2_rerunA_1500k,p3_s2_seed2_rerunA_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2_rerunA/checkpoint_1500k.zip,1500000,1500k,1000,N3PF-MS-AB-StepB,eval_flow_high_threat,50,0.48,0.52,0.44,0.9709878699682587,4.812438671088509,0.731483598947525,109.92,31.126439563878016,0.2660486054055544,0.3040972259388343,1.5455079894097645,0.12047608904682061,0.0,2.9752871666965706,0
