run_name,training_seed,method_key,method,checkpoint,checkpoint_step,checkpoint_label,scenario,motion_mode,threat_class,include_z,include_logvar,logvar_output_scale,block,not_applicable,samples,element_count,nan_count,inf_count,l2_norm_mean,l2_norm_median,l2_norm_p95,l2_norm_max,max_abs_mean,max_abs_p95,max_abs_max
seed2_rerunA,2,p3_s2_seed2_rerunA_1000k,P3_block_projected_seed2_rerunA_1000k,p3_s2_seed2_rerunA_1000k,1000000,1000k,eval_flow_id,sinusoidal_lateral,high,0,1,0.2,logvar_raw_9_clamped,0,28492,256428,0,0,13.189599608046175,13.624136924743652,14.498579120635984,15.0,4.983176109664614,5.0,5.0
seed2_rerunA,2,p3_s2_seed2_rerunA_1000k,P3_block_projected_seed2_rerunA_1000k,p3_s2_seed2_rerunA_1000k,1000000,1000k,eval_flow_id,sinusoidal_lateral,high,0,1,0.2,logvar_scaled_9_policy,0,28492,256428,0,0,2.637919929258763,2.724827527999878,2.8997157931327817,3.0,0.9966352221990225,1.0,1.0
seed2_rerunA,2,p3_s2_seed2_rerunA_1000k,P3_block_projected_seed2_rerunA_1000k,p3_s2_seed2_rerunA_1000k,1000000,1000k,eval_flow_id,sinusoidal_lateral,high,0,1,0.2,adapter_output_64,0,28392,1817088,0,0,5.770170613035883,5.775979518890381,6.011603832244873,6.148745059967041,0.9983256828931057,0.9998223781585693,0.9999771118164062
seed2_rerunA,2,p3_s2_seed2_rerunA_1000k,P3_block_projected_seed2_rerunA_1000k,p3_s2_seed2_rerunA_1000k,1000000,1000k,eval_flow_id,sinusoidal_lateral,high,0,1,0.2,full_aug_obs,0,28492,854760,0,0,3.3913838132310077,3.426657199859619,3.905912566184997,5.212687969207764,1.2035608246502005,1.6490583419799805,3.392578601837158
seed2_rerunA,2,p3_s2_seed2_rerunA_1000k,P3_block_projected_seed2_rerunA_1000k,p3_s2_seed2_rerunA_1000k,1000000,1000k,eval_flow_id,linear,high,0,1,0.2,obs_i_12,0,12720,152640,0,0,1.4188171141271322,1.4150464534759521,1.8846635818481445,2.338955879211426,0.8474066457986457,1.050746297836303,1.3063945770263672
seed2_rerunA,2,p3_s2_seed2_rerunA_1000k,P3_block_projected_seed2_rerunA_1000k,p3_s2_seed2_rerunA_1000k,1000000,1000k,eval_flow_id,linear,high,0,1,0.2,delta_hat_9_after_scale,0,12720,114480,0,0,1.447995578400416,1.4657477140426636,2.0947089195251465,2.530073642730713,1.074086635344246,1.6154398918151855,2.3502039909362793
seed2_rerunA,2,p3_s2_seed2_rerunA_1000k,P3_block_projected_seed2_rerunA_1000k,p3_s2_seed2_rerunA_1000k,1000000,1000k,eval_flow_id,linear,high,0,1,0.2,logvar_raw_9_clamped,0,12720,114480,0,0,12.639129763204346,13.273679733276367,14.440240859985352,15.0,4.947228389584793,5.0,5.0
seed2_rerunA,2,p3_s2_seed2_rerunA_1000k,P3_block_projected_seed2_rerunA_1000k,p3_s2_seed2_rerunA_1000k,1000000,1000k,eval_flow_id,linear,high,0,1,0.2,logvar_scaled_9_policy,0,12720,114480,0,0,2.5278259579912294,2.6547359228134155,2.8880484104156494,3.0,0.9894456784117897,1.0,1.0
seed2_rerunA,2,p3_s2_seed2_rerunA_1000k,P3_block_projected_seed2_rerunA_1000k,p3_s2_seed2_rerunA_1000k,1000000,1000k,eval_flow_id,linear,high,0,1,0.2,adapter_output_64,0,12762,816768,0,0,5.78154317522998,5.786329746246338,6.037449359893799,6.152601718902588,0.9978966293963046,0.9997544288635254,0.9999611973762512
seed2_rerunA,2,p3_s2_seed2_rerunA_1000k,P3_block_projected_seed2_rerunA_1000k,p3_s2_seed2_rerunA_1000k,1000000,1000k,eval_flow_id,linear,high,0,1,0.2,full_aug_obs,0,12720,381600,0,0,3.2731505469799793,3.330320119857788,3.8179924488067627,4.205212593078613,1.1627134681029139,1.6154398918151855,2.3502039909362793
seed2_rerunA,2,p3_s2_seed2_rerunA_1000k,P3_block_projected_seed2_rerunA_1000k,p3_s2_seed2_rerunA_1000k,1000000,1000k,eval_flow_id,ar1_velocity,high,0,1,0.2,obs_i_12,0,23059,276708,0,0,1.4187673871838429,1.40096914768219,1.8903849601745601,2.3948938846588135,0.8512827618107935,1.0487464666366577,1.3926540613174438
seed2_rerunA,2,p3_s2_seed2_rerunA_1000k,P3_block_projected_seed2_rerunA_1000k,p3_s2_seed2_rerunA_1000k,1000000,1000k,eval_flow_id,ar1_velocity,high,0,1,0.2,delta_hat_9_after_scale,0,23059,207531,0,0,1.4474403138330907,1.478399395942688,2.1465365886688232,3.4226155281066895,1.0800651085138802,1.5862746238708487,2.930685520172119
