run_name,training_seed,method_key,method,checkpoint,checkpoint_path,checkpoint_step,checkpoint_label,eval_seed,source_phase,threat_motion_mode,episodes,success_rate,collision_rate,near_miss_rate,progress,mean_min_distance,episode_min_distance,episode_length,episode_reward,raw_unsafe_action_rate,raw_safe_margin_unsafe_action_rate,action_norm,action_delta,no_response_rate,raw_min_predicted_cpa,nan_or_crash
seed2_rerunA,2,p3_s2_seed2_rerunA_1000k,P3_block_projected_seed2_rerunA_1000k,p3_s2_seed2_rerunA_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2_rerunA/checkpoint_1000k.zip,1000000,1000k,1002,N3PF-MS-AB-StepB,accel_decel,60,0.45,0.55,0.45,0.9781191045398344,5.2150499619746125,0.6991028293967247,112.4,30.429042079834872,0.23007587087412248,0.26979424873623764,1.5757933053934536,0.10622863376951133,0.0,3.348930219859499,0
seed2_rerunA,2,p3_s2_seed2_rerunA_1000k,P3_block_projected_seed2_rerunA_1000k,p3_s2_seed2_rerunA_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2_rerunA/checkpoint_1000k.zip,1000000,1000k,1002,N3PF-MS-AB-StepB,ar1_velocity,79,0.5189873417721519,0.4810126582278481,0.4936708860759494,0.9649542642769677,5.331597659852845,0.7650774532481085,111.70886075949367,31.545446282167436,0.233797030619555,0.28095220600394244,1.5814630505082368,0.10653264283897326,0.0,3.3660788516376265,0
seed2_rerunA,2,p3_s2_seed2_rerunA_1000k,P3_block_projected_seed2_rerunA_1000k,p3_s2_seed2_rerunA_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2_rerunA/checkpoint_1000k.zip,1000000,1000k,1002,N3PF-MS-AB-StepB,crossing_or_sudden_threat,49,0.32653061224489793,0.673469387755102,0.30612244897959184,0.9665917904256419,5.518091761863528,0.6673996339038927,105.75510204081633,27.423924307437115,0.22484675032891335,0.2544321497877664,1.5861052501349124,0.08265176546148237,0.0,3.4658023896458054,0
seed2_rerunA,2,p3_s2_seed2_rerunA_1000k,P3_block_projected_seed2_rerunA_1000k,p3_s2_seed2_rerunA_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2_rerunA/checkpoint_1000k.zip,1000000,1000k,1002,N3PF-MS-AB-StepB,linear,43,0.2558139534883721,0.7441860465116279,0.23255813953488372,0.9469810820675936,5.383005925583049,0.6008792874771495,106.88372093023256,25.38858327843852,0.2622505455045887,0.2941614156787432,1.5835200674761583,0.10114633858024909,0.0,3.3643830265785994,0
seed2_rerunA,2,p3_s2_seed2_rerunA_1000k,P3_block_projected_seed2_rerunA_1000k,p3_s2_seed2_rerunA_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2_rerunA/checkpoint_1000k.zip,1000000,1000k,1002,N3PF-MS-AB-StepB,sinusoidal_lateral,69,0.42028985507246375,0.5797101449275363,0.42028985507246375,0.9510633292010418,5.180388579059694,0.6404834592687911,110.1159420289855,29.07193553999118,0.2640003658843604,0.30339041121692617,1.580546293377178,0.11010044858265298,0.0,3.0994252268822393,0
seed2_rerunA,2,p3_s2_seed2_rerunA_1500k,P3_block_projected_seed2_rerunA_1500k,p3_s2_seed2_rerunA_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2_rerunA/checkpoint_1500k.zip,1500000,1500k,1000,N3PF-MS-AB-StepB,accel_decel,55,0.43636363636363634,0.5636363636363636,0.4,0.9599115531156558,4.710750293542021,0.6956394163045017,105.03636363636363,29.886659404452395,0.2786794472636969,0.31088559958841844,1.5513615406151664,0.10308019581570493,0.0,2.761974878799038,0
seed2_rerunA,2,p3_s2_seed2_rerunA_1500k,P3_block_projected_seed2_rerunA_1500k,p3_s2_seed2_rerunA_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2_rerunA/checkpoint_1500k.zip,1500000,1500k,1000,N3PF-MS-AB-StepB,ar1_velocity,88,0.42045454545454547,0.5795454545454546,0.375,0.9603481214523483,4.715839020641793,0.7118704998019066,105.93181818181819,29.616039183208333,0.26067623865171996,0.3018460659493044,1.5551853208472908,0.11095384400557609,0.0,2.861737221291948,0
seed2_rerunA,2,p3_s2_seed2_rerunA_1500k,P3_block_projected_seed2_rerunA_1500k,p3_s2_seed2_rerunA_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2_rerunA/checkpoint_1500k.zip,1500000,1500k,1000,N3PF-MS-AB-StepB,crossing_or_sudden_threat,49,0.4489795918367347,0.5510204081632653,0.4489795918367347,0.9661170033581181,4.714374568919425,0.6799040394169944,108.24489795918367,30.396098651640926,0.26400547307289424,0.3014010660295469,1.5539712679077882,0.11207302208950556,0.0,2.8167238560722376,0
seed2_rerunA,2,p3_s2_seed2_rerunA_1500k,P3_block_projected_seed2_rerunA_1500k,p3_s2_seed2_rerunA_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2_rerunA/checkpoint_1500k.zip,1500000,1500k,1000,N3PF-MS-AB-StepB,linear,31,0.3548387096774194,0.6451612903225806,0.3548387096774194,0.9017034665673684,4.803026247519882,0.6963092454018132,99.87096774193549,26.279648957378587,0.2904755103395893,0.3386708455867887,1.5573485699221916,0.11365754894736155,0.0,2.7820373434297347,0
seed2_rerunA,2,p3_s2_seed2_rerunA_1500k,P3_block_projected_seed2_rerunA_1500k,p3_s2_seed2_rerunA_1500k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2_rerunA/checkpoint_1500k.zip,1500000,1500k,1000,N3PF-MS-AB-StepB,sinusoidal_lateral,77,0.45454545454545453,0.5454545454545454,0.44155844155844154,0.9516840719930116,4.672837421372994,0.7112077428148939,105.07792207792208,29.881349410307642,0.2658918981314756,0.31131325282988576,1.5505398025521284,0.11560168145832246,0.0,2.8380964642372866,0
