run_name,training_seed,method_key,method,checkpoint,checkpoint_path,checkpoint_step,checkpoint_label,eval_seed,scenario,motion_mode,threat_class,steps,raw_unsafe_rate,raw_safe_margin_unsafe_rate,raw_min_predicted_cpa,raw_min_predicted_ttc,action_norm,action_delta,no_response_rate
seed2_rerunA,2,p3_s2_seed2_rerunA_1000k,P3_block_projected_seed2_rerunA_1000k,p3_s2_seed2_rerunA_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2_rerunA/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_high_density,sinusoidal_lateral,high,396,0.33585858585858586,0.38636363636363635,2.877855009468733,2.270116250786548,1.5688023547632526,0.11824191629303375,0.0
seed2_rerunA,2,p3_s2_seed2_rerunA_1000k,P3_block_projected_seed2_rerunA_1000k,p3_s2_seed2_rerunA_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2_rerunA/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_high_density,sinusoidal_lateral,low,434,0.2857142857142857,0.33410138248847926,2.9845272422411955,1.2466152201816854,1.5968275147099649,0.11197620288636279,0.0
seed2_rerunA,2,p3_s2_seed2_rerunA_1000k,P3_block_projected_seed2_rerunA_1000k,p3_s2_seed2_rerunA_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2_rerunA/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_high_density,sinusoidal_lateral,medium,517,0.30947775628626695,0.34622823984526113,3.166847852145176,1.688181505369267,1.5749988726536586,0.11006284205736575,0.0
seed2_rerunA,2,p3_s2_seed2_rerunA_1000k,P3_block_projected_seed2_rerunA_1000k,p3_s2_seed2_rerunA_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2_rerunA/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_high_speed,accel_decel,high,667,0.2353823088455772,0.2893553223388306,3.053868969198668,1.7275754338303841,1.5707089784799486,0.0809988094049728,0.0
seed2_rerunA,2,p3_s2_seed2_rerunA_1000k,P3_block_projected_seed2_rerunA_1000k,p3_s2_seed2_rerunA_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2_rerunA/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_high_speed,accel_decel,low,135,0.2222222222222222,0.22962962962962963,3.4799065822942388,1.10743595485365,1.5794671341224953,0.1075321510296177,0.0
seed2_rerunA,2,p3_s2_seed2_rerunA_1000k,P3_block_projected_seed2_rerunA_1000k,p3_s2_seed2_rerunA_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2_rerunA/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_high_speed,accel_decel,medium,660,0.22424242424242424,0.3,2.8275289777052506,1.5052781511629032,1.5782383605837822,0.09395075379447504,0.0
seed2_rerunA,2,p3_s2_seed2_rerunA_1000k,P3_block_projected_seed2_rerunA_1000k,p3_s2_seed2_rerunA_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2_rerunA/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_high_speed,ar1_velocity,high,593,0.1703204047217538,0.1821247892074199,3.565466195988841,1.8417305149045942,1.5767913426556837,0.08901202156323104,0.0
seed2_rerunA,2,p3_s2_seed2_rerunA_1000k,P3_block_projected_seed2_rerunA_1000k,p3_s2_seed2_rerunA_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2_rerunA/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_high_speed,ar1_velocity,low,213,0.3004694835680751,0.323943661971831,2.7648143933412617,1.4297338997523426,1.5680383846793375,0.20633442360610468,0.0
seed2_rerunA,2,p3_s2_seed2_rerunA_1000k,P3_block_projected_seed2_rerunA_1000k,p3_s2_seed2_rerunA_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2_rerunA/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_high_speed,ar1_velocity,medium,619,0.2617124394184168,0.3150242326332795,2.9016016967830085,1.5495600122351285,1.6056786879584168,0.10420751616190246,0.0
seed2_rerunA,2,p3_s2_seed2_rerunA_1000k,P3_block_projected_seed2_rerunA_1000k,p3_s2_seed2_rerunA_1000k,checkpoints/env_v2_gpsi_heada_ppo_n3pf_ms_block_projected_s2_rerunA/checkpoint_1000k.zip,1000000,1000k,1000,eval_flow_high_speed,crossing_or_sudden_threat,high,121,0.04132231404958678,0.0743801652892562,4.7536701633910505,1.3241237435844964,1.5383001181704938,0.0633294923531184,0.0
