episode_seed,success,collision,episode_min_distance,episode_reward,steps,time_to_goal,reaction_time,risk_rise_time,min_distance_after_turn,turning_obstacle_id,episode_id
1000,1,0,1.9491344690322876,21.645808975147666,34,6.800000000000001,nan,nan,nan,-1,0
1001,1,0,1.3283460140228271,22.865231415866255,36,7.2,nan,nan,nan,-1,1
1002,1,0,1.9934049844741821,22.09666049946931,36,7.2,nan,nan,nan,-1,2
1003,1,0,1.6207479238510132,22.694961220116163,38,7.6000000000000005,nan,nan,nan,-1,3
1004,1,0,0.9744178056716919,21.97814068519488,39,7.800000000000001,nan,nan,nan,-1,4
1005,1,0,1.7614593505859375,23.14992979856455,41,8.200000000000001,nan,nan,nan,-1,5
1006,1,0,1.5401935577392578,21.46842994748149,35,7.0,nan,nan,nan,-1,6
1007,1,0,1.2873777151107788,21.67608333049342,36,7.2,nan,nan,nan,-1,7
1008,1,0,1.2698006629943848,23.28623903400061,41,8.200000000000001,nan,nan,nan,-1,8
1009,0,1,0.5010754466056824,-6.711558585689635,10,2.0,nan,nan,nan,-1,9
1010,1,0,1.5332121849060059,23.679031438718955,39,7.800000000000001,nan,nan,nan,-1,10
1011,1,0,1.5417498350143433,21.043136120697017,33,6.6000000000000005,nan,nan,nan,-1,11
1012,1,0,2.325629711151123,22.042765186869076,39,7.800000000000001,nan,nan,nan,-1,12
1013,1,0,1.3023948669433594,22.30240347457002,35,7.0,nan,nan,nan,-1,13
1014,1,0,1.56400728225708,23.485168228281545,41,8.200000000000001,nan,nan,nan,-1,14
1015,1,0,1.0578742027282715,21.86636588186491,37,7.4,nan,nan,nan,-1,15
1016,1,0,0.8603054881095886,22.416277530547937,39,7.800000000000001,nan,nan,nan,-1,16
1017,1,0,0.8288151025772095,23.347419643583997,40,8.0,nan,nan,nan,-1,17
1018,1,0,0.9776639342308044,23.08978173823154,38,7.6000000000000005,nan,nan,nan,-1,18
1019,1,0,1.3910268545150757,22.341024901320342,37,7.4,nan,nan,nan,-1,19
