episode_seed,success,collision,episode_min_distance,episode_reward,steps,time_to_goal,reaction_time,risk_rise_time,min_distance_after_turn,turning_obstacle_id,episode_id
1000,1,0,0.9684677720069885,21.930648726488215,33,6.6000000000000005,nan,nan,nan,-1,0
1001,0,1,0.5318645238876343,-9.443253578543663,3,0.6000000000000001,nan,nan,nan,-1,1
1002,1,0,0.9356991052627563,22.088946263923425,36,7.2,nan,nan,nan,-1,2
1003,1,0,1.0626459121704102,21.353948237318235,33,6.6000000000000005,nan,nan,nan,-1,3
1004,1,0,0.9449207782745361,21.09588656286593,34,6.800000000000001,nan,nan,nan,-1,4
1005,1,0,0.9803579449653625,22.43310992988292,38,7.6000000000000005,nan,nan,nan,-1,5
1006,1,0,0.9338074326515198,21.50989526741192,34,6.800000000000001,nan,nan,nan,-1,6
1007,1,0,0.7728700637817383,23.115985738055315,40,8.0,nan,nan,nan,-1,7
1008,1,0,0.636947512626648,22.09833158378882,36,7.2,nan,nan,nan,-1,8
1009,1,0,0.9086272120475769,21.031950076951176,34,6.800000000000001,nan,nan,nan,-1,9
1010,1,0,1.0063821077346802,22.54285303307228,36,7.2,nan,nan,nan,-1,10
1011,1,0,1.1106579303741455,21.585274262783642,36,7.2,nan,nan,nan,-1,11
1012,0,1,0.5309531688690186,-9.614077292922884,2,0.4,nan,nan,nan,-1,12
1013,1,0,0.8697975873947144,21.521253722229883,32,6.4,nan,nan,nan,-1,13
1014,1,0,1.0625250339508057,23.49103593581706,38,7.6000000000000005,nan,nan,nan,-1,14
1015,1,0,0.7909572720527649,22.010853737779545,36,7.2,nan,nan,nan,-1,15
1016,1,0,0.7897915244102478,21.397034227547937,33,6.6000000000000005,nan,nan,nan,-1,16
1017,1,0,0.7056377530097961,22.95930084455935,38,7.6000000000000005,nan,nan,nan,-1,17
1018,1,0,0.8959792852401733,22.29966028361028,34,6.800000000000001,nan,nan,nan,-1,18
1019,1,0,0.6741732358932495,21.40983298856782,34,6.800000000000001,nan,nan,nan,-1,19
1020,1,0,0.9343906044960022,20.920961589288197,31,6.2,nan,nan,nan,-1,20
1021,1,0,0.8057457804679871,23.101916589991887,39,7.800000000000001,nan,nan,nan,-1,21
1022,1,0,0.6899176836013794,22.410733961962542,38,7.6000000000000005,nan,nan,nan,-1,22
1023,1,0,0.8798926472663879,23.401525102468728,38,7.6000000000000005,nan,nan,nan,-1,23
1024,1,0,0.9895620942115784,22.38675238258729,35,7.0,nan,nan,nan,-1,24
1025,1,0,0.7279990911483765,21.497603794827228,35,7.0,nan,nan,nan,-1,25
1026,0,1,0.47597023844718933,-9.40851656407147,3,0.6000000000000001,nan,nan,nan,-1,26
1027,1,0,0.6021339893341064,23.340134336648845,40,8.0,nan,nan,nan,-1,27
1028,1,0,0.9541061520576477,22.071770977852573,34,6.800000000000001,nan,nan,nan,-1,28
1029,0,1,0.5251149535179138,-9.146144687114283,4,0.8,nan,nan,nan,-1,29
1030,1,0,0.9688194394111633,21.557352262062487,34,6.800000000000001,nan,nan,nan,-1,30
1031,1,0,0.6332456469535828,22.554669787353888,36,7.2,nan,nan,nan,-1,31
1032,1,0,0.6508643627166748,22.411404542445595,35,7.0,nan,nan,nan,-1,32
1033,1,0,0.807822585105896,23.03029806901002,37,7.4,nan,nan,nan,-1,33
1034,0,1,0.47055870294570923,-9.520603696703912,2,0.4,nan,nan,nan,-1,34
1035,0,1,0.5015400648117065,-8.908451793229904,4,0.8,nan,nan,nan,-1,35
1036,1,0,1.2578728199005127,22.16911572284414,37,7.4,nan,nan,nan,-1,36
1037,1,0,0.7872892022132874,21.600723989791007,35,7.0,nan,nan,nan,-1,37
1038,1,0,0.8735542893409729,21.215111929107806,34,6.800000000000001,nan,nan,nan,-1,38
1039,1,0,0.8951126933097839,21.89737466000108,33,6.6000000000000005,nan,nan,nan,-1,39
1040,1,0,0.9016283750534058,22.812122866420246,36,7.2,nan,nan,nan,-1,40
1041,1,0,0.7693907618522644,22.345793807531706,35,7.0,nan,nan,nan,-1,41
1042,1,0,0.8156436681747437,21.649852288602382,34,6.800000000000001,nan,nan,nan,-1,42
1043,1,0,0.9197791814804077,21.02409779731051,32,6.4,nan,nan,nan,-1,43
1044,1,0,0.9633347988128662,21.68205862000937,34,6.800000000000001,nan,nan,nan,-1,44
1045,1,0,0.7541057467460632,21.769930152888872,33,6.6000000000000005,nan,nan,nan,-1,45
1046,1,0,0.8947319388389587,22.37957630328368,36,7.2,nan,nan,nan,-1,46
1047,0,1,0.543863832950592,-8.929567553717643,4,0.8,nan,nan,nan,-1,47
1048,1,0,0.9965765476226807,22.000068159900692,33,6.6000000000000005,nan,nan,nan,-1,48
1049,1,0,0.9571824669837952,22.118496407551717,35,7.0,nan,nan,nan,-1,49
1050,1,0,0.6930941939353943,22.992593305542833,39,7.800000000000001,nan,nan,nan,-1,50
1051,1,0,0.8567580580711365,21.062761820918404,32,6.4,nan,nan,nan,-1,51
1052,1,0,0.8282849788665771,22.420639349250635,35,7.0,nan,nan,nan,-1,52
1053,1,0,0.7007304430007935,22.084416650999408,34,6.800000000000001,nan,nan,nan,-1,53
