episode_seed,success,collision,episode_min_distance,episode_reward,steps,time_to_goal,reaction_time,risk_rise_time,min_distance_after_turn,turning_obstacle_id,episode_id
1000,1,0,0.9486940503120422,21.796047003401398,32,6.4,nan,nan,nan,-1,0
1001,0,1,0.410910040140152,-9.553198452927171,2,0.4,nan,nan,nan,-1,1
1002,1,0,0.9439061880111694,21.853411389050034,33,6.6000000000000005,nan,nan,nan,-1,2
1003,1,0,0.915622353553772,21.58644142022161,32,6.4,nan,nan,nan,-1,3
1004,1,0,0.9385446906089783,21.285128394595915,31,6.2,nan,nan,nan,-1,4
1005,1,0,0.9956822395324707,22.421305004129454,34,6.800000000000001,nan,nan,nan,-1,5
1006,1,0,0.9505280256271362,21.62482131524246,32,6.4,nan,nan,nan,-1,6
1007,1,0,0.8765088319778442,23.129885428823435,36,7.2,nan,nan,nan,-1,7
1008,1,0,0.6470608711242676,21.842473428770653,34,6.800000000000001,nan,nan,nan,-1,8
1009,1,0,0.9215125441551208,21.146642145216575,31,6.2,nan,nan,nan,-1,9
1010,1,0,1.0084083080291748,22.778182779478563,35,7.0,nan,nan,nan,-1,10
1011,1,0,1.1649112701416016,21.55039809502396,32,6.4,nan,nan,nan,-1,11
1012,0,1,0.4141364097595215,-9.364139386098831,3,0.6000000000000001,nan,nan,nan,-1,12
1013,1,0,0.8559581637382507,21.316552653521505,31,6.2,nan,nan,nan,-1,13
1014,1,0,1.0856763124465942,23.31132636587325,37,7.4,nan,nan,nan,-1,14
1015,1,0,0.8702665567398071,22.29748787286288,34,6.800000000000001,nan,nan,nan,-1,15
1016,1,0,0.8185418844223022,21.48967394592936,32,6.4,nan,nan,nan,-1,16
1017,1,0,0.6265052556991577,23.157513927652758,37,7.4,nan,nan,nan,-1,17
1018,1,0,0.7984068393707275,22.253291183308605,34,6.800000000000001,nan,nan,nan,-1,18
1019,1,0,0.7431983351707458,21.420839934110063,32,6.4,nan,nan,nan,-1,19
1020,1,0,0.7490092515945435,20.91901573173127,30,6.0,nan,nan,nan,-1,20
1021,1,0,0.895205557346344,22.883942633484587,36,7.2,nan,nan,nan,-1,21
1022,1,0,0.7746572494506836,22.67422140606157,37,7.4,nan,nan,nan,-1,22
1023,1,0,0.9151782393455505,23.30533567820146,37,7.4,nan,nan,nan,-1,23
1024,1,0,0.9078213572502136,22.513350749136713,35,7.0,nan,nan,nan,-1,24
1025,1,0,0.6172841191291809,21.891627616679685,33,6.6000000000000005,nan,nan,nan,-1,25
1026,0,1,0.5129238367080688,-9.420995949553326,3,0.6000000000000001,nan,nan,nan,-1,26
1027,1,0,0.7794443964958191,23.594858867817546,39,7.800000000000001,nan,nan,nan,-1,27
1028,1,0,0.8362088203430176,22.02845236933055,33,6.6000000000000005,nan,nan,nan,-1,28
1029,0,1,0.4696509838104248,-9.325664186156136,3,0.6000000000000001,nan,nan,nan,-1,29
1030,1,0,0.8802614808082581,21.663310283507208,32,6.4,nan,nan,nan,-1,30
1031,1,0,0.8304092884063721,22.6652118077864,36,7.2,nan,nan,nan,-1,31
1032,1,0,0.818902850151062,22.256445971157664,34,6.800000000000001,nan,nan,nan,-1,32
1033,1,0,0.7555043697357178,22.989031616115458,36,7.2,nan,nan,nan,-1,33
1034,1,0,0.5698798894882202,21.949045962471935,34,6.800000000000001,nan,nan,nan,-1,34
1035,0,1,0.28131455183029175,-8.842309797034249,5,1.0,nan,nan,nan,-1,35
1036,1,0,1.2178266048431396,22.49477873213761,34,6.800000000000001,nan,nan,nan,-1,36
1037,1,0,0.7752102017402649,21.745654802793318,33,6.6000000000000005,nan,nan,nan,-1,37
1038,1,0,0.9136674404144287,21.000994708374826,31,6.2,nan,nan,nan,-1,38
1039,1,0,0.798427402973175,21.956004017083725,33,6.6000000000000005,nan,nan,nan,-1,39
1040,1,0,0.8336693644523621,22.6390594751545,35,7.0,nan,nan,nan,-1,40
1041,1,0,0.6949515342712402,22.066147477878033,34,6.800000000000001,nan,nan,nan,-1,41
1042,1,0,0.8469983339309692,21.919435017578447,33,6.6000000000000005,nan,nan,nan,-1,42
1043,1,0,1.013930082321167,21.239399949249435,31,6.2,nan,nan,nan,-1,43
1044,1,0,0.968786895275116,21.62280857989622,32,6.4,nan,nan,nan,-1,44
1045,1,0,0.7384903430938721,21.913804509342953,33,6.6000000000000005,nan,nan,nan,-1,45
1046,1,0,0.838246762752533,22.460522782251545,35,7.0,nan,nan,nan,-1,46
1047,0,1,0.48491379618644714,-8.81091431453824,5,1.0,nan,nan,nan,-1,47
1048,1,0,0.871338427066803,22.010813740903835,33,6.6000000000000005,nan,nan,nan,-1,48
1049,1,0,0.9279610514640808,22.5068407157436,35,7.0,nan,nan,nan,-1,49
1050,1,0,0.7297571897506714,22.938985131395597,36,7.2,nan,nan,nan,-1,50
1051,1,0,0.8153454661369324,21.161630604572782,31,6.2,nan,nan,nan,-1,51
1052,1,0,0.8325924873352051,22.639389090681416,36,7.2,nan,nan,nan,-1,52
1053,1,0,0.7490315437316895,22.158813981918648,34,6.800000000000001,nan,nan,nan,-1,53
1054,1,0,0.7389035820960999,22.731709916604952,36,7.2,nan,nan,nan,-1,54
1055,1,0,0.7368422746658325,21.30135975618454,31,6.2,nan,nan,nan,-1,55
1056,1,0,0.7894231677055359,21.290861738015955,32,6.4,nan,nan,nan,-1,56
1057,0,1,0.5359451174736023,-8.965721808779053,4,0.8,nan,nan,nan,-1,57
1058,1,0,0.8565983772277832,21.265305830371176,31,6.2,nan,nan,nan,-1,58
1059,1,0,1.085846185684204,22.001256051709532,33,6.6000000000000005,nan,nan,nan,-1,59
1060,1,0,0.8543601036071777,22.054819015765244,33,6.6000000000000005,nan,nan,nan,-1,60
1061,1,0,0.7265411019325256,21.565009899906073,32,6.4,nan,nan,nan,-1,61
1062,1,0,0.7799825072288513,21.640220631789706,32,6.4,nan,nan,nan,-1,62
