episode_seed,success,collision,episode_min_distance,episode_reward,steps,time_to_goal,reaction_time,risk_rise_time,min_distance_after_turn,turning_obstacle_id,episode_id
1000,1,0,1.480003833770752,21.71934234742789,35,7.0,nan,nan,nan,-1,0
1001,1,0,1.740281581878662,22.63967769824376,35,7.0,nan,nan,nan,-1,1
1002,1,0,1.2781305313110352,22.22086945540155,34,6.800000000000001,nan,nan,nan,-1,2
1003,1,0,1.296607494354248,22.59427457739715,36,7.2,nan,nan,nan,-1,3
1004,1,0,1.0491304397583008,21.689914992521516,35,7.0,nan,nan,nan,-1,4
1005,1,0,1.3088178634643555,22.938765567402005,36,7.2,nan,nan,nan,-1,5
1006,1,0,1.202278733253479,21.461747593968468,33,6.6000000000000005,nan,nan,nan,-1,6
1007,1,0,1.142073631286621,21.75040852271573,34,6.800000000000001,nan,nan,nan,-1,7
1008,1,0,1.1566346883773804,23.13644403919926,38,7.6000000000000005,nan,nan,nan,-1,8
1009,1,0,0.9425091743469238,21.077283214477355,34,6.800000000000001,nan,nan,nan,-1,9
1010,1,0,1.127933382987976,23.56113534883945,38,7.6000000000000005,nan,nan,nan,-1,10
1011,1,0,1.252246618270874,21.184859776085503,32,6.4,nan,nan,nan,-1,11
1012,1,0,1.4098033905029297,21.95841112614056,36,7.2,nan,nan,nan,-1,12
1013,1,0,1.2726695537567139,22.02707823346485,36,7.2,nan,nan,nan,-1,13
1014,1,0,1.311588168144226,23.58549808196809,39,7.800000000000001,nan,nan,nan,-1,14
1015,1,0,0.9036538600921631,21.619275812935086,34,6.800000000000001,nan,nan,nan,-1,15
1016,1,0,1.1727153062820435,22.43266612001244,35,7.0,nan,nan,nan,-1,16
1017,1,0,1.896607518196106,23.289643599558914,38,7.6000000000000005,nan,nan,nan,-1,17
1018,1,0,1.312073826789856,22.851743650152347,37,7.4,nan,nan,nan,-1,18
1019,1,0,0.9484843611717224,22.095144705468556,35,7.0,nan,nan,nan,-1,19
