episode_seed,success,collision,episode_min_distance,episode_reward,steps,time_to_goal,reaction_time,risk_rise_time,min_distance_after_turn,turning_obstacle_id,episode_id
1000,1,0,0.6087157726287842,21.58980851583262,62,12.4,0.20000000000000018,37.0,1.8469135761260986,1,0
1001,1,0,0.6675650477409363,21.704376312843102,77,15.4,0.20000000000000018,37.0,1.7253025770187378,1,1
1002,1,0,0.6590981483459473,21.536937379132095,75,15.0,0.20000000000000018,37.0,1.0846190452575684,0,2
