method,seed,episodes,success_rate,collision_rate,mean_episode_min_distance,mean_risk_at_turn,mean_risk_max_after_turn,mean_risk_rise_time_0p3,mean_risk_rise_time_0p5,mean_risk_rise_time_0p7,nan_rate_risk_rise_0p5,mean_sigma_trace_at_turn,mean_sigma_trace_max_after_turn,mean_sigma_rise_time_2x,nan_rate_sigma_rise_time_2x,mean_R_sum_at_turn,mean_R_sum_max_after_turn,mean_R_bar_at_turn,mean_R_bar_max_after_turn,mean_w_risk_at_turn,mean_w_risk_max_after_turn,turning_obstacle_top1_rate_at_turn,turning_obstacle_top1_rate_after_turn,mean_reaction_time,nan_rate_reaction_time
attention_full,0,30,1.0,0.0,1.2282078564167023,0.019577337370134725,0.02605820448499326,nan,nan,nan,1.0,1.0037175794442494,1.6280572632948558,1.3285714285714287,0.5333333333333333,0.023632330146081026,0.4547770545817912,0.023304923546052576,0.4092871306104241,0.7335155399291586,0.9773814777533213,0.8,0.9666666666666667,0.20000000000000012,0.0
attention_full,1,30,1.0,0.0,1.4243314544359842,0.0006824546692933098,0.008295911233875877,nan,nan,nan,1.0,1.1405319382747015,1.87250607808431,1.4545454545454548,0.6333333333333333,0.0006833344649821638,0.304173178326649,0.0006833245393366051,0.2799218158456183,0.6553743636189059,0.8221887846787771,0.8666666666666667,0.9666666666666667,0.20000000000000012,0.0
attention_full,2,30,1.0,0.0,1.140757473309835,0.023717006686707058,0.047795411972618586,0.20000000000000015,0.2000000000000001,nan,0.9666666666666667,0.8847875008980434,1.6022014280160268,0.9066666666666667,0.5,0.03294201065413608,0.4270508139161393,0.031828239117802845,0.37940578965062566,0.6291287664864134,0.9320100257794063,0.7333333333333333,0.9333333333333333,0.6928571428571428,0.06666666666666667
risk_full_rbar,0,30,1.0,0.0,1.0504160940647125,0.06668115032501724,0.07567969938457758,0.0,0.0,0.2000000000000001,0.9333333333333333,1.0805461059014003,1.7063050419092178,1.0666666666666667,0.6,0.06723672447613806,0.4754222534131259,0.06274781708694945,0.4280038713577255,0.8028887720087217,0.9488490462303162,0.8,0.9666666666666667,0.20000000000000012,0.4
risk_full_rbar,1,30,1.0,0.0,1.180873958269755,0.03716114564827397,0.03860780049145278,0.0,nan,nan,1.0,1.2142360796531042,1.7515951414903006,0.8000000000000002,0.6,0.03722677503544268,0.4489988721131037,0.036660997352249154,0.40056056297388387,0.8419485668341319,0.9869630038738251,0.9,1.0,0.3500000000000001,0.3333333333333333
risk_full_rbar,2,30,1.0,0.0,1.09811532497406,0.026555559608386722,0.03549265312420475,0.0,nan,nan,1.0,1.0545135468244553,1.8488690694173178,0.7066666666666668,0.5,0.03369220008285035,0.4071945461134116,0.03324765079923781,0.3716911798386728,0.7840667174446276,0.9748547782500585,0.9,1.0,0.5166666666666668,0.6
