method,seed,episode,success,collision,episode_min_distance,steps,turn_step,turning_obstacle_id,risk_at_turn,risk_max_after_turn,risk_rise_time_0p3,risk_rise_time_0p5,risk_rise_time_0p7,sigma_trace_at_turn,sigma_trace_max_after_turn,sigma_rise_time_2x,R_sum_at_turn,R_sum_max_after_turn,R_bar_at_turn,R_bar_max_after_turn,w_risk_at_turn,w_risk_max_after_turn,risk_rank_at_turn,risk_rank_best_after_turn,reaction_time
attention_full,1,0,1,0,0.7847137451171875,36,15,2,0.0002829813747666776,0.0008815153851173818,nan,nan,nan,0.6152291297912598,0.9682906866073608,nan,0.00028298189863562584,0.22323332726955414,0.00028298189108201337,0.2195976434845266,0.999998152256012,1.0,1.0,1.0,0.20000000000000018
attention_full,1,1,1,0,1.3382930755615234,40,15,2,8.210045490675277e-12,0.0005296574672684073,nan,nan,nan,0.8565157651901245,1.17361581325531,nan,8.210045490675277e-12,0.2000323385000229,8.210045490675277e-12,0.19740639871505133,0.3333333432674408,1.0,1.0,1.0,0.20000000000000018
attention_full,1,2,1,0,0.9610103964805603,38,15,2,1.427583528820775e-12,1.9862593489961e-06,nan,nan,nan,0.5308270454406738,2.0503697395324707,0.8000000000000003,1.427583528820775e-12,0.679351806640625,1.427583528820775e-12,0.5910978402412226,0.3333333432674408,1.0,1.0,1.0,0.20000000000000018
attention_full,1,3,1,0,1.635833978652954,43,15,2,1.21948355501246e-19,1.5421845744878482e-10,nan,nan,nan,0.5359383225440979,1.5785040855407715,2.0,8.197242741625767e-17,0.02316775545477867,8.197242741625767e-17,0.02316361128638146,0.3333333432674408,0.3333333432674408,2.0,1.0,0.20000000000000018
attention_full,1,4,1,0,0.9139156937599182,41,15,0,2.5833291940075692e-14,1.591661025202029e-08,nan,nan,nan,1.2800319194793701,1.8265154361724854,nan,2.4377804663799907e-08,0.5654303431510925,2.43778046637999e-08,0.5119954014512266,1.0597054824756924e-06,0.3333333432674408,2.0,1.0,0.20000000000000018
attention_full,1,5,1,0,1.1756290197372437,36,15,0,0.0003041232703253627,0.0003232808958273381,nan,nan,nan,0.9939188957214355,1.806788444519043,nan,0.0003041232703253627,0.5461528301239014,0.0003041232609491449,0.4976312875460703,1.0,1.0,1.0,1.0,0.20000000000000018
attention_full,1,6,1,0,1.2779167890548706,43,15,2,7.727281974064001e-32,2.885166772159664e-09,nan,nan,nan,0.687571108341217,1.7504332065582275,0.6000000000000001,2.7043628838055445e-13,0.4994262158870697,2.7043628838055445e-13,0.46166578641126305,0.3333333432674408,0.3333333432674408,2.0,2.0,0.20000000000000018
attention_full,1,7,1,0,1.2529609203338623,39,15,1,1.9163094293617178e-06,3.585837839636952e-05,nan,nan,nan,1.9767149686813354,2.188352584838867,nan,1.9197689198335866e-06,0.11235948652029037,1.919768919831228e-06,0.11188902890189614,0.9981979727745056,0.9999994039535522,1.0,1.0,0.20000000000000018
attention_full,1,8,1,0,1.6491926908493042,41,15,1,4.1855243703976634e-16,6.325571177967504e-09,nan,nan,nan,0.8279379606246948,2.124556541442871,2.2,4.1862152316452677e-16,0.5094105005264282,4.1862152316452677e-16,0.4694857623024254,0.3333333432674408,0.3333333432674408,1.0,1.0,0.20000000000000018
attention_full,1,9,1,0,1.6260546445846558,37,15,2,8.558095850163942e-16,0.00024883338483050466,nan,nan,nan,0.5195342302322388,2.2143943309783936,0.8000000000000003,8.558095850163942e-16,0.022648949176073074,8.558095850163942e-16,0.022645077189760155,0.3333333432674408,1.0,1.0,1.0,0.20000000000000018
attention_full,1,10,1,0,1.0527194738388062,36,15,2,1.175711901169052e-07,1.5052497474243864e-05,nan,nan,nan,1.061497688293457,1.877223253250122,nan,1.175711901169052e-07,0.5356694459915161,1.1757119011690466e-07,0.48970290532927035,1.0,1.0,1.0,1.0,0.20000000000000018
attention_full,1,11,1,0,1.9797788858413696,39,15,1,0.0008522755815647542,0.01054332870990038,nan,nan,nan,2.0176608562469482,2.2473397254943848,nan,0.0008522755815647542,0.38205063343048096,0.0008522753752079677,0.3644870003517188,1.0,1.0,1.0,1.0,0.20000000000000018
attention_full,1,12,1,0,1.8752315044403076,37,15,2,1.474249538991118e-28,1.1003632671702235e-08,nan,nan,nan,0.4756177067756653,1.6037445068359375,0.8000000000000003,1.474249538991118e-28,0.017049647867679596,1.474249538991118e-28,0.01704799600290718,0.3333333432674408,1.0,1.0,1.0,0.20000000000000018
attention_full,1,13,1,0,1.0877898931503296,37,15,1,6.224583160019392e-08,0.00015872690710239112,nan,nan,nan,1.3383879661560059,1.437078595161438,nan,6.224583160019392e-08,0.6297552585601807,6.224583160019384e-08,0.5578836690393854,1.0,1.0,1.0,1.0,0.20000000000000018
attention_full,1,14,1,0,1.3037060499191284,38,15,1,4.177657551900039e-15,2.0743318174254455e-08,nan,nan,nan,1.2963296175003052,2.062836170196533,nan,4.177657551900039e-15,0.3909989595413208,4.177657551900039e-15,0.37222110283853693,0.3333333432674408,1.0,1.0,1.0,0.20000000000000018
attention_full,1,15,1,0,2.048581838607788,40,15,2,7.265632675708724e-20,4.573605494329058e-08,nan,nan,nan,0.7800077199935913,1.8220593929290771,0.6000000000000001,7.265632675708724e-20,0.0022538297343999147,7.265632675708724e-20,0.0022538259181116194,0.3333333432674408,1.0,1.0,1.0,0.20000000000000018
attention_full,1,16,1,0,1.490786075592041,38,15,2,1.6016972308372142e-29,2.968578345381029e-13,nan,nan,nan,0.6098353266716003,1.8581069707870483,0.6000000000000001,2.0712655529585805e-19,0.08768836408853531,2.0712655529585805e-19,0.08746430065410617,0.3333333432674408,0.3333333432674408,2.0,1.0,0.20000000000000018
attention_full,1,17,1,0,1.53401780128479,42,15,0,0.007808067370206118,0.029907722026109695,nan,nan,nan,1.0857223272323608,2.4144256114959717,4.4,0.007808067370206118,0.029907722026109695,0.007807908698748915,0.029898808010412198,1.0,1.0,1.0,1.0,0.20000000000000018
attention_full,1,18,1,0,1.295427680015564,44,15,0,1.429098915650684e-06,2.3275388230104e-05,nan,nan,nan,2.241617202758789,2.241617202758789,nan,1.429098915650684e-06,0.2952861189842224,1.429098915649711e-06,0.28699286576396715,1.0,1.0,1.0,1.0,0.20000000000000018
attention_full,1,19,1,0,1.5646204948425293,40,15,0,1.7727464296513062e-07,5.348571789909329e-07,nan,nan,nan,1.6781463623046875,1.6781463623046875,nan,1.7727464296513062e-07,0.0388789139688015,1.7727464296512877e-07,0.038859336406492244,1.0,1.0,1.0,1.0,0.20000000000000018
attention_full,1,20,1,0,1.4730771780014038,38,15,0,0.0026576209347695112,0.18229813873767853,nan,nan,nan,1.4856045246124268,2.252255916595459,nan,0.0026576209347695112,0.18229813873767853,0.002657614677906784,0.18030521221214887,1.0,1.0,1.0,1.0,0.20000000000000018
attention_full,1,21,1,0,1.1610357761383057,39,15,2,3.300726988585622e-16,1.733151862026716e-07,nan,nan,nan,1.1686450242996216,1.629037857055664,nan,3.300726988585622e-16,0.6747153401374817,3.300726988585622e-16,0.588073071610577,0.3333333432674408,1.0,1.0,1.0,0.20000000000000018
attention_full,1,22,1,0,1.4107996225357056,42,15,1,6.965857664908981e-06,2.6501702450332232e-05,nan,nan,nan,1.1018095016479492,1.9351283311843872,nan,6.965857664908981e-06,0.11121769994497299,6.965857664796312e-06,0.11076139296015935,1.0,1.0,1.0,1.0,0.20000000000000018
