episode_id,scenario,step,time,obstacle_id,obstacle_slot,history_valid,history_available_steps,future_valid_1s,delta_x_1s,delta_y_1s,delta_z_1s,delta_norm_1s,future_valid_2s,delta_x_2s,delta_y_2s,delta_z_2s,delta_norm_2s,future_valid_4s,delta_x_4s,delta_y_4s,delta_z_4s,delta_norm_4s,motion_mode,threat_class,replacement_boundary_nearby,reason_invalid_if_any
0,eval_flow_id,0,0.0,0,0,0,1,1,0.025028713978827,-0.007146358489990234,-0.1160253556445241,0.11890916749998581,1,0.07762064225971699,-0.15270280838012695,-0.14087742008268833,0.22178719368156263,1,0.332899484783411,0.03671884536743164,0.23279322311282158,0.40787623772589865,ar1_velocity,medium,0,history_padding_or_gap
0,eval_flow_id,0,0.0,1,1,0,1,1,5.662441253662109e-07,9.611248970031738e-07,0.0,1.115523857723853e-06,1,0.10422152280807495,-0.1708230823278427,-0.0033234357833862305,0.2001341962229976,1,1.1464265584945679,-1.879071205854416,-0.036557793617248535,2.2014856172519113,crossing_or_sudden_threat,high,0,history_padding_or_gap
0,eval_flow_id,0,0.0,2,2,0,1,1,0.03116617724299431,-0.13886088132858276,0.05554722808301449,0.1527716253595507,1,-0.010019101202487946,-0.3968600034713745,-0.029390592128038406,0.3980729225278225,1,-0.039522722363471985,-0.8515865802764893,-0.06951645761728287,0.8553328516838816,ar1_velocity,medium,0,history_padding_or_gap
0,eval_flow_id,0,0.0,3,3,0,1,1,0.028842657804489136,0.44785189628601074,0.011787282302975655,0.44893447176652923,1,0.07183831930160522,1.115468978881836,0.029358718544244766,1.1181653372030118,1,0.2312396764755249,3.5905308723449707,0.09450060874223709,3.5992102047937538,accel_decel,high,0,history_padding_or_gap
0,eval_flow_id,0,0.0,4,4,0,1,0,,,,nan,0,,,,nan,0,,,,nan,ar1_velocity,medium,1,1s:obstacle_replaced_or_inactive_before_horizon;2s:obstacle_replaced_or_inactive_before_horizon;4s:obstacle_replaced_or_inactive_before_horizon;history_padding_or_gap
0,eval_flow_id,1,0.2,0,0,0,2,1,0.08134672790765762,-0.0154532790184021,-0.05689132958650589,0.10046251716846194,1,0.17076964676380157,-0.07405698299407959,0.019674167037010193,0.18717313331410343,1,0.453203946352005,0.23349452018737793,0.5993386209011078,0.786841972984542,ar1_velocity,medium,0,history_padding_or_gap
0,eval_flow_id,1,0.2,1,1,0,2,1,5.662441253662109e-07,9.611248970031738e-07,0.0,1.115523857723853e-06,1,0.20844191312789917,-0.34164808690547943,-0.006646871566772461,0.4002694434205762,1,1.250646948814392,-2.0498962104320526,-0.039881229400634766,2.401620864454035,crossing_or_sudden_threat,high,0,history_padding_or_gap
0,eval_flow_id,1,0.2,2,2,0,2,1,-0.033952973783016205,-0.08267593383789062,-0.02770296484231949,0.0935711960259793,1,-0.1360216587781906,-0.28911352157592773,-0.15589876472949982,0.3555178544869285,1,-0.2605157792568207,-0.5078754425048828,-0.299395352602005,0.6445490776511886,ar1_velocity,medium,0,history_padding_or_gap
0,eval_flow_id,1,0.2,3,3,0,2,1,0.019267521798610687,0.299182653427124,0.007874473929405212,0.2999058266316602,1,0.05718843638896942,0.8879964351654053,0.023371785879135132,0.8901429247588631,1,0.17549213767051697,2.7249244451522827,0.07171839475631714,2.7315113491104275,accel_decel,high,0,history_padding_or_gap
0,eval_flow_id,1,0.2,5,4,0,1,0,,,,nan,0,,,,nan,0,,,,nan,sinusoidal_lateral,medium,1,1s:obstacle_replaced_or_inactive_before_horizon;2s:obstacle_replaced_or_inactive_before_horizon;4s:obstacle_replaced_or_inactive_before_horizon;history_padding_or_gap
0,eval_flow_id,2,0.4,0,0,0,3,1,-0.05363653600215912,-0.16853761672973633,-0.09386153519153595,0.20022935358174224,1,-0.029132574796676636,-0.2610912322998047,-0.0009972155094146729,0.26271340456262743,1,-0.017358124256134033,-0.11663293838500977,0.5661243796348572,0.578274467714912,ar1_velocity,medium,0,history_padding_or_gap
0,eval_flow_id,2,0.4,1,1,0,3,1,5.662441253662109e-07,9.611248970031738e-07,0.0,1.115523857723853e-06,1,0.3126623034477234,-0.5124730914831161,-0.009970307350158691,0.6004046906213801,1,1.3548673391342163,-2.2207212150096893,-0.043204665184020996,2.6017561116562034,crossing_or_sudden_threat,high,0,history_padding_or_gap
0,eval_flow_id,2,0.4,2,2,0,3,1,0.01102692261338234,-0.13213098049163818,-0.14811643958091736,0.19879302981274452,1,-0.0795668289065361,-0.35753560066223145,-0.3384777903556824,0.4987281830488527,1,-0.09356807172298431,-0.5379236936569214,-0.6013673543930054,0.8122558581956214,ar1_velocity,medium,0,history_padding_or_gap
0,eval_flow_id,2,0.4,3,3,0,3,1,0.006951048970222473,0.1079484224319458,0.0028413385152816772,0.10820929808427127,1,0.04111471772193909,0.638418436050415,0.016802996397018433,0.6399616083721983,1,0.10950213670730591,1.700279712677002,0.04475027322769165,1.7043897459907482,accel_decel,high,0,history_padding_or_gap
0,eval_flow_id,2,0.4,6,4,0,1,0,,,,nan,0,,,,nan,0,,,,nan,ar1_velocity,medium,1,1s:obstacle_replaced_or_inactive_before_horizon;2s:obstacle_replaced_or_inactive_before_horizon;4s:obstacle_replaced_or_inactive_before_horizon;history_padding_or_gap
0,eval_flow_id,3,0.6000000000000001,0,0,0,4,1,-0.014811728149652481,-0.15488004684448242,0.02000287175178528,0.15686724030098395,1,0.08570926636457443,-0.15787029266357422,0.20647233724594116,0.2736785225300623,1,0.09460054337978363,0.0877218246459961,0.9416298866271973,0.9504268644753902,ar1_velocity,medium,0,history_padding_or_gap
0,eval_flow_id,3,0.6000000000000001,1,1,0,4,1,5.662441253662109e-07,9.611248970031738e-07,0.0,1.115523857723853e-06,1,0.4168826937675476,-0.6832980960607529,-0.013293743133544922,0.8005399378229905,1,1.4590877294540405,-2.391546219587326,-0.04652810096740723,2.8018913588584073,crossing_or_sudden_threat,high,0,history_padding_or_gap
