method_key,method,base_policy,shield_enabled,shield_config_name,episodes,episode_filter_triggered_rate,shield_trigger_rate,shield_intervention_steps,filter_delta_norm_mean,filter_delta_norm_p95,max_filter_delta_norm,raw_action_unsafe_rate,filtered_action_unsafe_rate,raw_min_predicted_cpa,filtered_min_predicted_cpa,raw_ttc_min,filtered_ttc_min,a_raw_norm,a_exec_norm,action_delta_raw,action_delta_exec
attention_no_shield,attention_full_no_shield,attention_full,0,none,1,0.0,0.0,0.0,0.0,0.0,0.0,0.4313725490196078,0.4313725490196078,3.219814231390973,3.219814231390973,0.0,0.0,1.5355688947088575,1.5355688947088575,0.0908152620898246,0.0908152620898246
attention_ordinary_vo,attention_full_plus_ordinary_vo,attention_full,1,vo_like_filter_h45_cpa1p2_h16,1,1.0,0.2777777777777778,30.0,0.1771562609959531,0.7576619058847421,1.0739902257919312,0.2685185185185185,0.0,3.393802279502981,4.230193814745656,0.0,0.0,1.5457829071415796,1.44311971741694,0.0851429276751511,0.1526265643385845
noz_no_shield,no_z_full_no_shield,no_z_full,0,none,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2608695652173913,0.2608695652173913,3.1416959336526906,3.1416959336526906,0.0,0.0,1.5831118519755378,1.5831118519755378,0.1227571346735867,0.1227571346735867
noz_ordinary_vo,no_z_full_plus_ordinary_vo,no_z_full,1,vo_like_filter_h45_cpa1p2_h16,1,1.0,0.2215909090909091,39.0,0.1823456450788812,1.0229253768920898,1.5779733657836914,0.2215909090909091,0.0,3.287801234085981,3.6008315756917,0.0,0.0,1.5582798184318976,1.4904707436534492,0.1247802826762199,0.1833294399376632
p3_no_shield,P3_checkpoint_1500k_no_shield,p3_1500k,0,none,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2946428571428571,0.2946428571428571,3.0740572441552234,3.0740572441552234,0.0,0.0,1.542747050523758,1.542747050523758,0.1241851391455343,0.1241851391455343
p3_ordinary_vo,P3_checkpoint_1500k_plus_ordinary_vo,p3_1500k,1,vo_like_filter_h45_cpa1p2_h16,1,1.0,0.1864406779661017,22.0,0.1140395861624156,0.8545689344406128,1.2111692428588867,0.1779661016949152,0.0,3.3062369944527745,3.730093929727199,0.0,0.0,1.5523335064871835,1.5055177221863956,0.1143276865761249,0.1646720114936176
