method_key,method,checkpoint,checkpoint_step,checkpoint_label,scenario,motion_mode,threat_class,feature_adapter,block,not_applicable,samples,element_count,nan_count,inf_count,l2_norm_mean,l2_norm_median,l2_norm_p95,l2_norm_max,max_abs_mean,max_abs_p95,max_abs_max
noz_no_shield,no_z_full_no_shield,no_z_full_no_shield,1500000,final,eval_flow_id,linear,high,,logvar_scaled_9_policy,0,210,1890,0,0,14.263510985601515,14.35607099533081,14.616840982437134,15.0,5.0,5.0,5.0
noz_no_shield,no_z_full_no_shield,no_z_full_no_shield,1500000,final,eval_flow_id,linear,high,,adapter_output_64,1,0,0,0,0,nan,nan,nan,nan,nan,nan,nan
noz_no_shield,no_z_full_no_shield,no_z_full_no_shield,1500000,final,eval_flow_id,linear,high,,full_aug_obs,0,210,6300,0,0,14.406935242244176,14.494559288024902,14.706680202484131,15.024123191833496,5.0,5.0,5.0
noz_no_shield,no_z_full_no_shield,no_z_full_no_shield,1500000,final,eval_flow_id,ar1_velocity,high,,obs_i_12,0,130,1560,0,0,1.2516220363286825,1.224949598312378,1.8222357153892514,2.103411912918091,0.7720672566157121,1.2024171888828277,1.3371998071670532
noz_no_shield,no_z_full_no_shield,no_z_full_no_shield,1500000,final,eval_flow_id,ar1_velocity,high,,delta_hat_9_after_scale,0,130,1170,0,0,1.0031076392302147,0.9894230961799622,1.8231896817684172,2.022390604019165,0.7940299978623023,1.4105095744132996,1.5225327014923096
noz_no_shield,no_z_full_no_shield,no_z_full_no_shield,1500000,final,eval_flow_id,ar1_velocity,high,,logvar_raw_9_clamped,0,130,1170,0,0,13.76660759999202,14.084777355194092,14.86392583847046,15.0,4.997489925531241,5.0,5.0
noz_no_shield,no_z_full_no_shield,no_z_full_no_shield,1500000,final,eval_flow_id,ar1_velocity,high,,logvar_scaled_9_policy,0,130,1170,0,0,13.76660759999202,14.084777355194092,14.86392583847046,15.0,4.997489925531241,5.0,5.0
noz_no_shield,no_z_full_no_shield,no_z_full_no_shield,1500000,final,eval_flow_id,ar1_velocity,high,,adapter_output_64,1,0,0,0,0,nan,nan,nan,nan,nan,nan,nan
noz_no_shield,no_z_full_no_shield,no_z_full_no_shield,1500000,final,eval_flow_id,ar1_velocity,high,,full_aug_obs,0,130,3900,0,0,13.875253934126635,14.234864234924316,14.921776294708252,15.048428535461426,4.997489925531241,5.0,5.0
noz_no_shield,no_z_full_no_shield,no_z_full_no_shield,1500000,final,eval_flow_id,sinusoidal_lateral,medium,,obs_i_12,0,20,240,0,0,1.0788654655218124,1.0591999888420105,1.3888543188571931,1.4659619331359863,0.608690720796585,0.8791616350412369,0.9685428738594055
noz_no_shield,no_z_full_no_shield,no_z_full_no_shield,1500000,final,eval_flow_id,sinusoidal_lateral,medium,,delta_hat_9_after_scale,0,20,180,0,0,0.6763485200703144,0.7661174535751343,1.1587378919124605,1.2720907926559448,0.55014030598104,0.969815731048584,1.0299010276794434
noz_no_shield,no_z_full_no_shield,no_z_full_no_shield,1500000,final,eval_flow_id,sinusoidal_lateral,medium,,logvar_raw_9_clamped,0,20,180,0,0,13.651222801208496,14.283926963806152,14.840668106079102,14.876606941223145,5.0,5.0,5.0
noz_no_shield,no_z_full_no_shield,no_z_full_no_shield,1500000,final,eval_flow_id,sinusoidal_lateral,medium,,logvar_scaled_9_policy,0,20,180,0,0,13.651222801208496,14.283926963806152,14.840668106079102,14.876606941223145,5.0,5.0,5.0
noz_no_shield,no_z_full_no_shield,no_z_full_no_shield,1500000,final,eval_flow_id,sinusoidal_lateral,medium,,adapter_output_64,1,0,0,0,0,nan,nan,nan,nan,nan,nan,nan
noz_no_shield,no_z_full_no_shield,no_z_full_no_shield,1500000,final,eval_flow_id,sinusoidal_lateral,medium,,full_aug_obs,0,20,600,0,0,13.716446495056152,14.365864276885986,14.932337236404418,14.94327163696289,5.0,5.0,5.0
p3_no_shield,P3_checkpoint_1500k_no_shield,P3_checkpoint_1500k_no_shield,1500000,1500k,eval_flow_id,accel_decel,high,block_projected_no_z,obs_i_12,0,200,2400,0,0,1.4452886939048768,1.4378638863563538,1.7974939227104185,1.991927981376648,0.8869360065460206,1.0630744218826294,1.1585774421691895
p3_no_shield,P3_checkpoint_1500k_no_shield,P3_checkpoint_1500k_no_shield,1500000,1500k,eval_flow_id,accel_decel,high,block_projected_no_z,delta_hat_9_after_scale,0,200,1800,0,0,1.3181879977881907,1.247178316116333,2.0563600897788983,2.7093098163604736,1.0898826141655444,1.6211582183837876,2.344336986541748
p3_no_shield,P3_checkpoint_1500k_no_shield,P3_checkpoint_1500k_no_shield,1500000,1500k,eval_flow_id,accel_decel,high,block_projected_no_z,logvar_raw_9_clamped,0,200,1800,0,0,13.136623096466064,13.333727359771729,13.895109939575196,14.158187866210938,4.997960133552551,5.0,5.0
