context_config,baseline_name,success_rate,collision_rate,near_miss_rate,progress,filter_trigger_rate,source
vo_like_filter_h45_cpa1p2_h16,vo_like_filter,0.8333333333333334,0.1666666666666666,0.72,0.987975154553813,0.3508952195574182,Phase B formal B2
cpa_ttc_weighted_apf_alpha3,cpa_ttc_weighted_apf,0.72,0.28,0.72,0.8963958647509671,0.0,Phase B formal B2
