method_key,method,base_policy,checkpoint,checkpoint_path,checkpoint_step,checkpoint_label,shield_enabled,shield_config_name,scenario,eval_seed,episode_id,episode_seed,step,time,shield_triggered,shield_reason,filter_delta_norm,raw_action_unsafe,filtered_action_unsafe,min_predicted_cpa_raw,min_predicted_cpa_filtered,min_ttc_raw,min_ttc_filtered,a_raw_norm,a_exec_norm
attention_ordinary_vo,attention_full_plus_ordinary_vo,attention_full,attention_full_plus_ordinary_vo,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1,vo_like_filter_h45_cpa1p2_h16,eval_flow_id,1000,0,1000,83,16.6,1,vo_like_filter_h4.5_cpa1.2_h16,0.5568822622299194,1,0,0.6085498929023743,2.9652395248413086,2.448021411895752,2.538975954055786,1.6949893236160278,1.4142135381698608
attention_ordinary_vo,attention_full_plus_ordinary_vo,attention_full,attention_full_plus_ordinary_vo,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1,vo_like_filter_h45_cpa1p2_h16,eval_flow_id,1000,0,1000,84,16.8,1,vo_like_filter_h4.5_cpa1.2_h16,0.5601834654808044,1,0,0.5554606318473816,2.9647529125213623,2.6610910892486572,2.3392138481140137,1.6968284845352173,1.4142135381698608
attention_ordinary_vo,attention_full_plus_ordinary_vo,attention_full,attention_full_plus_ordinary_vo,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1,vo_like_filter_h45_cpa1p2_h16,eval_flow_id,1000,0,1000,85,17.0,1,vo_like_filter_h4.5_cpa1.2_h16,0.5773558020591736,1,0,0.3675977289676666,2.964533567428589,2.9405245780944824,2.1393203735351562,1.706465244293213,1.4142135381698608
attention_ordinary_vo,attention_full_plus_ordinary_vo,attention_full,attention_full_plus_ordinary_vo,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1,vo_like_filter_h45_cpa1p2_h16,eval_flow_id,1000,0,1000,86,17.2,1,vo_like_filter_h4.5_cpa1.2_h16,0.6025715470314026,1,0,0.07322118431329727,2.9050891399383545,3.238875150680542,1.9147955179214478,1.7208274602890015,1.4142135381698608
attention_ordinary_vo,attention_full_plus_ordinary_vo,attention_full,attention_full_plus_ordinary_vo,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1,vo_like_filter_h45_cpa1p2_h16,eval_flow_id,1000,0,1000,87,17.400000000000002,1,vo_like_filter_h4.5_cpa1.2_h16,0.6219875812530518,1,0,0.20601902902126312,2.852698802947998,3.499478816986084,1.6933882236480713,1.7320507764816284,1.4142135381698608
attention_ordinary_vo,attention_full_plus_ordinary_vo,attention_full,attention_full_plus_ordinary_vo,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1,vo_like_filter_h45_cpa1p2_h16,eval_flow_id,1000,0,1000,88,17.6,1,vo_like_filter_h4.5_cpa1.2_h16,0.6219875812530518,1,0,0.30447834730148315,2.8070361614227295,3.713283061981201,1.4750374555587769,1.7320507764816284,1.4142135381698608
attention_ordinary_vo,attention_full_plus_ordinary_vo,attention_full,attention_full_plus_ordinary_vo,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1,vo_like_filter_h45_cpa1p2_h16,eval_flow_id,1000,0,1000,89,17.8,1,vo_like_filter_h4.5_cpa1.2_h16,0.621987521648407,1,0,0.24891869723796844,2.7678208351135254,3.7735893726348877,1.2596731185913086,1.7320507764816284,1.4142135381698608
attention_ordinary_vo,attention_full_plus_ordinary_vo,attention_full,attention_full_plus_ordinary_vo,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1,vo_like_filter_h45_cpa1p2_h16,eval_flow_id,1000,0,1000,90,18.0,1,vo_like_filter_h4.5_cpa1.2_h16,0.4142135977745056,1,0,0.003079088404774666,2.0055668354034424,3.6429920196533203,1.0778570175170898,1.7320507764816284,1.4142135381698608
attention_ordinary_vo,attention_full_plus_ordinary_vo,attention_full,attention_full_plus_ordinary_vo,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1,vo_like_filter_h45_cpa1p2_h16,eval_flow_id,1000,0,1000,91,18.2,1,vo_like_filter_h4.5_cpa1.2_h16,0.4365437626838684,1,0,0.06636442989110947,2.353877305984497,3.7422237396240234,0.8702903985977173,1.6801425218582153,1.4142135381698608
attention_ordinary_vo,attention_full_plus_ordinary_vo,attention_full,attention_full_plus_ordinary_vo,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1,vo_like_filter_h45_cpa1p2_h16,eval_flow_id,1000,0,1000,92,18.400000000000002,1,vo_like_filter_h4.5_cpa1.2_h16,0.46406957507133484,1,0,0.24625544250011444,2.3524680137634277,3.8448848724365234,0.6710742115974426,1.7320507764816284,1.4142135381698608
attention_ordinary_vo,attention_full_plus_ordinary_vo,attention_full,attention_full_plus_ordinary_vo,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1,vo_like_filter_h45_cpa1p2_h16,eval_flow_id,1000,0,1000,93,18.6,1,vo_like_filter_h4.5_cpa1.2_h16,0.4142135977745056,1,0,1.0024089813232422,2.1924781799316406,3.8473451137542725,0.501406729221344,1.7320507764816284,1.4142135381698608
attention_ordinary_vo,attention_full_plus_ordinary_vo,attention_full,attention_full_plus_ordinary_vo,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1,vo_like_filter_h45_cpa1p2_h16,eval_flow_id,1000,0,1000,94,18.8,0,none,0.0,0,0,1.4740262031555176,1.4740262031555176,3.7272698879241943,3.7272698879241943,1.7320507764816284,1.7320507764816284
attention_ordinary_vo,attention_full_plus_ordinary_vo,attention_full,attention_full_plus_ordinary_vo,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1,vo_like_filter_h45_cpa1p2_h16,eval_flow_id,1000,0,1000,95,19.0,1,vo_like_filter_h4.5_cpa1.2_h16,0.4142135977745056,1,0,1.0783179998397827,2.2898199558258057,3.564405679702759,0.07705119252204895,1.7320507764816284,1.4142135381698608
attention_ordinary_vo,attention_full_plus_ordinary_vo,attention_full,attention_full_plus_ordinary_vo,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1,vo_like_filter_h45_cpa1p2_h16,eval_flow_id,1000,0,1000,96,19.200000000000003,1,vo_like_filter_h4.5_cpa1.2_h16,0.44238123297691345,1,0,0.011132421903312206,1.8564255237579346,3.3007006645202637,4.021297931671143,1.7320507764816284,1.4142135381698608
attention_ordinary_vo,attention_full_plus_ordinary_vo,attention_full,attention_full_plus_ordinary_vo,checkpoints/env_v2_phase2/attention_full_s0/attention_full_s0_step1500000.zip,1500000,attention_full_1500k,1,vo_like_filter_h45_cpa1p2_h16,eval_flow_id,1000,0,1000,97,19.400000000000002,0,none,0.0,0,0,1.3675695657730103,1.3675695657730103,2.86417555809021,2.86417555809021,1.7320507764816284,1.7320507764816284
